layer,avg_cosine_similarity
0,0.3153099313402252
1,0.9808038872088131
2,0.9999804970349393
3,0.9999647815958455
4,0.9999406117688787
5,0.9999107988267228
6,0.9998757810500805
7,0.9998334811740281
8,0.9997789492385154
9,0.999762362882758
10,0.9997508683709807
11,0.999749890682594
12,0.9997344431295441
13,0.9996904565281508
14,0.9996202051352536
15,0.9995777200351366
16,0.9994645842962433
17,0.9992953622130674
18,0.9990630582285922
19,0.9988396825989406
20,0.9984855377272274
21,0.9981805994078206
22,0.9976615490538351
23,0.9972212592059115
24,0.9967753515962996
25,0.9958131765860042
26,0.9950498903161259
27,0.9938976213599093
28,0.9927584832208306
29,0.9915369835175443
30,0.990061214130916
31,0.987588220672087
